City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,masterton,-40.9597,175.6575,286.42,82,100,3.31,NZ,1700158814
307,mount pearl,47.5166,-52.7813,274.44,75,75,3.6,CA,1700158814
308,gangtok,27.3333,88.6167,283.72,61,29,2.84,IN,1700158815
309,kismayo,-0.3582,42.5454,300.81,80,47,4.34,SO,1700158817
310,smithers,54.7804,-127.1743,272.33,93,75,1.03,CA,1700158817
311,keflavik,64.0049,-22.5624,278.1,87,0,4.12,IS,1700158818
312,buka,40.8108,69.1986,288.31,19,100,0.94,UZ,1700158818
313,souillac,-20.5167,57.5167,296.36,94,40,1.54,MU,1700158819
314,crane,31.3974,-102.3501,293.3,59,100,6.72,US,1700158820
315,dakhla,23.6848,-15.958,295.23,63,0,7.54,EH,1700158820
316,wloclawek,52.6482,19.0678,277.88,91,99,3.93,PL,1700158821
317,kaminoyama,38.1539,140.2736,280.87,90,100,0.97,JP,1700158822
318,obligado,-27.0333,-55.6333,299.47,67,92,1.29,PY,1700158823
319,barranca,-10.75,-77.7667,295.37,72,92,5.56,PE,1700158824
320,bonnyville,54.2668,-110.735,269.77,57,25,5.25,CA,1700158803
321,praia da vitoria,38.7333,-27.0667,294.29,88,75,12.56,PT,1700158826
322,new norfolk,-42.7826,147.0587,281.88,93,86,1.41,AU,1700158827
323,vilcun,-38.65,-72.2333,283.56,97,100,1.35,CL,1700158827
324,northam,51.0333,-4.2167,281.82,92,56,4.63,GB,1700158828
325,kupang,-10.1667,123.5833,298.47,100,75,2.57,ID,1700158829
326,tukrah,32.5341,20.5791,294.72,77,5,2.06,LY,1700158829
327,pangoa,-12.1167,-73.0,299.88,84,90,0.78,PE,1700158830
328,broome,42.2506,-75.833,289.56,53,0,2.57,US,1700158831
329,nuku'alofa,-21.1333,-175.2,298.34,94,20,2.06,TO,1700158831
330,astrakhan,46.3497,48.0408,283.1,93,40,3.13,RU,1700158833
331,camana,-16.6228,-72.7111,294.34,75,81,3.71,PE,1700158833
332,robertsport,6.7533,-11.3686,301.25,75,4,3.08,LR,1700158834
333,selfoss,63.9331,-20.9971,276.26,81,98,4.36,IS,1700158835
334,holualoa,19.6228,-155.9522,296.92,75,40,2.57,US,1700158836
335,nili,33.7218,66.1302,283.76,22,100,1.21,AF,1700158836
336,auki,-8.7676,160.7034,297.37,89,53,1.3,SB,1700158837
337,port alfred,-33.5906,26.891,292.69,91,85,1.79,ZA,1700158838
338,oyonnax,46.2592,5.6573,286.27,79,65,7.11,FR,1700158838
339,arraial do cabo,-22.9661,-42.0278,307.13,51,0,7.2,BR,1700158839
340,polyarnyy,69.1989,33.4478,265.79,92,80,5.52,RU,1700158839
341,bangassou,4.7413,22.8184,294.47,99,99,1.32,CF,1700158840
342,belmonte,-15.8631,-38.8828,300.99,70,86,5.75,BR,1700158841
343,doctor alberto oviedo mota,32.2275,-115.1697,292.04,48,100,2.46,MX,1700158841
344,arno,60.1167,18.6333,271.36,72,99,2.76,SE,1700158842
345,chivhu,-19.0211,30.8922,291.89,45,0,3.38,ZW,1700158843
346,vorgashor,67.5833,63.95,258.74,96,100,4.99,RU,1700158844
347,raduzhny,62.0961,77.475,271.12,98,100,1.75,RU,1700158844
348,bull savanna,17.8868,-77.5902,297.07,93,100,9.27,JM,1700158845
349,wynyard,-41.0,145.7167,280.68,88,39,3.11,AU,1700158846
350,quiberon,47.4841,-3.1196,285.48,78,89,2.68,FR,1700158846
351,bakanas,44.8081,76.2772,284.61,28,98,7.02,KZ,1700158847
352,saint-philippe,-21.3585,55.7679,297.92,91,82,4.86,RE,1700158848
353,quellon,-43.1167,-73.6167,284.15,94,100,7.61,CL,1700158848
354,robore,-18.3333,-59.75,314.2,29,20,9.26,BO,1700158849
355,riversdale,18.1659,-76.9642,299.07,94,100,3.38,JM,1700158850
356,sirsa,29.5333,75.0167,292.16,31,1,1.88,IN,1700158850
357,balqash,46.8481,74.995,279.85,51,55,2.06,KZ,1700158851
358,hasaki,35.7333,140.8333,285.53,68,100,8.84,JP,1700158851
359,hithadhoo,-0.6,73.0833,301.26,77,91,6.08,MV,1700158852
360,hami,42.8,93.45,276.17,31,1,1.55,CN,1700158853
361,arkhangel'sk,64.5401,40.5433,267.66,84,29,2.75,RU,1700158853
362,east london,-33.0153,27.9116,290.67,94,75,5.14,ZA,1700158854
363,ula,22.7225,88.5556,296.14,88,75,3.09,IN,1700158854
364,angaur state,6.906,134.13,301.74,80,100,5.65,PW,1700158855
365,magadan,59.5667,150.8,257.53,73,3,2.83,RU,1700158856
